Mylossoma_sp	red	actinops1
Acnodon_oligacantus	red	actinops1
Ossubtus_sp	red	actinops1
Myleus_pacu	red	actinops1
Apareiodon_orinocoensis	red	actinops1
Parodon_guyanensis	red	actinops1
Ichthyoelephas_longirostris	red	actinops1
Prochilodus_scrophus	red	actinops1
Semaprochilodus_varii	red	actinops1
Curimatopsis_crypticus	red	actinops1
Curimata_roseni	red	actinops1
Cyphocharax_abramoides	red	actinops1
Psectrogaster_ciliata	red	actinops1
Synaptolaemus_cingulatus	red	actinops1
Pseudanos_winterbottomi	red	actinops1
Petulanos_spiloclistron	red	actinops1
Leporinus_brunneus	red	actinops1
Laemolyta_proxima	red	actinops1
Schizodon_vittatus	red	actinops1
Abramites_hypselonotus	red	actinops1
Leporinus_agassizii	red	actinops1
Leporinus_ortomaculatus	red	actinops1
Esox_americanus	red	actinops1
Salvelinus_alpinus	red	actinops1
Parahucho_perryi	red	actinops1
Osmerus_mordax	red	actinops1
Plecoglossus_altivelis	red	actinops1
Polyipnus_spinifer	red	actinops1
Sternoptyx_sp	red	actinops1
Stomias_boa	red	actinops1
Astronesthes_leucopogon	red	actinops1
Photostomias_guernei	red	actinops1
Bathophilus_flemingi	red	actinops1
Trachinocephalus_myops	red	actinops1
Ipnops_sp	red	actinops1
Scopelarchus_sp	red	actinops1
Lestidiops_jayakari	red	actinops1
Paralepis_coregonoides	red	actinops1
Scopelengys_sp	red	actinops1
Notolychnus_valdiviae	red	actinops1
Diaphus_sp	red	actinops1
Troglichthys_rosae	red	actinops1
Cyttomimus_affinis	red	actinops1
Macrourus_sp	red	actinops1
Gadus_chalcogrammus	red	actinops1
Anomalops_katoptron	red	actinops1
Paratrachichthys_sajademalensis	red	actinops1
Scopeloberyx_sp	red	actinops1
Gyrinomimus_parri	red	actinops1
Cetomimus_sp	red	actinops1
Polycentropsis_abbreviata	red	actinops1
Pundamilia_nyererei	red	actinops1
Tilapia_louka	red	actinops1
Arrhamphus_sclerolepis	red	actinops1
Oxyporhamphus_micropterus	red	actinops1
Cheilopogon_pinnatibarbatus	red	actinops1
Zenarchopterus_dispar	red	actinops1
Tylosurus_crocodilus	red	actinops1
Strongylura_notata	red	actinops1
Scomberesox_saurus	red	actinops1
Platybelone_argalus	red	actinops1
Cyprinodon_variegatus	red	actinops1
Fundulus_heteroclitus	red	actinops1
Iso_sp	red	actinops1
Phenacostethus_smithi	red	actinops1
Melanotaenia_splendida	red	actinops1
Melanotaenia_sp	red	actinops1
Natalichthys_sam	red	actinops1
Amphistichus_argenteus	red	actinops1
Plesiops_melas	red	actinops1
Arcos_sp	red	actinops1
Chaenopsis_sp	red	actinops1
Stanulus_sp	red	actinops1
Enchelyurus_flavipes	red	actinops1
Hypleurochilus_sp	red	actinops1
Rhombosolea_leporina	red	actinops1
Rhombosolea_tapirina	red	actinops1
Rhombosolea_plebeia	red	actinops1
Oncopterus_darwinii	red	actinops1
Arnoglossus_blachei	red	actinops1
Monolene_sp	red	actinops1
Pseudopleuronectes_americanus	red	actinops1
Hypoclinemus_sp	red	actinops1
Microchirus_frechkopi	red	actinops1
Brachirus_annularis	red	actinops1
Hemicaranx_amblyrhynchus	red	actinops1
